names, tf, pdcd1_low, npdcd1_high, fold_change, p_val
PDCD1,N,0.803932668,6.369039925,7.922354918,1.91E-184
IRF8,Y,0.410326175,1.025234724,2.498584749,6.29E-09
CD200,N,0.586720896,1.180315131,2.011714837,5.93E-07
FAM3C,N,0.667285765,1.31329383,1.968113062,4.27E-08
ETV1,Y,0.607465649,1.156383004,1.903618756,1.43E-10
KIR2DL4,N,0.577745858,1.075686338,1.861867675,0.000112433
GFOD1,N,0.802946063,1.454361101,1.811281189,1.14E-08
MRPL37,N,0.659196063,1.174248601,1.781334365,0.000187991
TSC22D1,Y,0.761369879,1.316277377,1.728827753,6.39E-05
TXNDC11,N,0.584217972,1.005339336,1.720829184,0.00010018
WDR61,N,0.638051119,1.095810485,1.717433685,7.14E-05
WARS,N,1.495118358,2.524482071,1.688483094,4.10E-10
HAPLN3,N,0.647603153,1.08657222,1.677836519,7.27E-05
MYO7A,N,0.618334953,1.037378328,1.677696405,2.45E-07
SARDH,N,0.67810806,1.118784612,1.649861841,5.50E-05
PAM,N,1.178596474,1.934097681,1.641017705,1.53E-10
BATF,Y,1.282654646,2.073631567,1.616671779,1.09E-06
SLC7A5,N,0.626367116,1.009413504,1.611536555,0.000186122
SMEK2,N,0.892717401,1.409640802,1.579044836,1.56E-05
U2AF1L4,N,0.662671045,1.039413097,1.568520468,7.15E-05
PPP4C,N,0.835757463,1.294625578,1.549044593,0.00022657
SPRY2,N,0.721201959,1.116303806,1.547838011,6.29E-05
TP53INP1,N,1.057132799,1.635607748,1.54721124,8.54E-09
VCAM1,N,1.266136405,1.957496847,1.546039463,1.77E-06
FUT8,N,0.790152437,1.220266772,1.544343491,6.54E-09
CALCOCO1,Y,0.959046754,1.477921884,1.541032154,2.44E-05
CXCL13,N,2.222566213,3.41339806,1.535791393,1.81E-08
GMDS,N,0.856596698,1.302196716,1.520198151,0.000218789
CTLA4,N,1.636938507,2.485386474,1.518313891,3.60E-10
CXCR6,N,1.821426996,2.744546754,1.506811286,5.50E-06
TBC1D4,N,0.881911974,1.328141315,1.505979457,6.31E-06
NSF,N,0.791099233,1.186039627,1.499229903,0.000555628
CD7,N,1.594950448,2.389838955,1.498378184,1.44E-11
SNAP47,N,1.61419569,2.418115653,1.49803129,2.77E-07
AATF,Y,0.920521325,1.371524534,1.489943249,0.000128249
NFATC1,Y,0.882420131,1.311775845,1.486566092,4.75E-05
CCL3,N,2.052144366,3.02337539,1.47327617,6.90E-07
PPP1CC,N,1.312132593,1.926197603,1.467990059,1.73E-05
PDE7B,N,0.721015267,1.053295293,1.460850195,0.000519135
UNC13D,N,0.846287041,1.226775487,1.449597391,4.37E-05
CORO7,N,0.725177565,1.047779118,1.444858705,0.000338459
ORMDL3,N,1.04563916,1.50606181,1.440326517,7.35E-05
CD27,N,3.633176362,5.23082181,1.439737929,2.77E-14
MAP2K3,N,1.121198153,1.610313228,1.436243204,0.000309067
SCAPER,N,0.891664578,1.27671434,1.431832519,0.000769414
SIRPG,N,2.911574254,4.144386418,1.423417731,6.97E-11
CCDC141,N,1.10864622,1.577075627,1.422523794,1.99E-05
CCL3L3,N,1.741568811,2.476802026,1.422167193,1.79E-05
FPGS,N,0.881880933,1.247509869,1.414601249,0.000518354
TRAF5,N,2.140140246,3.009555832,1.406242342,1.35E-09
IL6ST,N,1.322658034,1.855889181,1.40315118,8.35E-08
CCT3,N,1.394859049,1.95609653,1.40236143,0.000726893
HAVCR2,N,3.223944925,4.515174234,1.40051221,5.25E-14
HK1,N,1.259466578,1.753022021,1.39187657,0.000370224
ATHL1,N,1.752854427,2.422756737,1.382177949,2.90E-06
ATP6V0E2,N,1.007787334,1.392571026,1.381810407,0.000938063
FCRL3,N,2.482062498,3.416377854,1.376427007,7.78E-08
NBR1,N,1.038473433,1.422709642,1.370001,0.000742684
ICOS,N,1.257526726,1.720462015,1.368131571,0.000879757
FRYL,N,0.754718545,1.027884948,1.361944734,0.000626729
PTPN11,N,1.289563558,1.75398575,1.360139048,0.000248996
DFNB31,N,0.867366177,1.177806698,1.35791172,6.38E-05
HLA-DQB1,N,1.461902295,1.974880584,1.350897793,0.000645664
SLX1B,N,1.183713619,1.598235224,1.350187408,0.000345417
SLX1A,N,1.183713619,1.598235224,1.350187408,0.000345417
NXF1,N,1.394313582,1.879468993,1.347952868,0.000168939
LAG3,N,1.64365972,2.215516451,1.34791674,6.20E-06
NUCB1,N,1.298734832,1.747950043,1.345886781,0.000654939
