,names,p_val,logfold,pdcd1_low_mean,pdcd1_high_mean
0,PDCD1,1.3482796766255357e-171,3.2231934,0.5195018,1.9962372
10,WARS,0.00021698925062300966,0.7523779,0.6795432,0.9704166
32,CXCL13,0.008198386753784965,0.72924614,0.7635396,1.0645633
2,CD27,4.59447215361334e-09,0.7239104,1.2989701,1.6868643
11,LAG3,0.00023888919474413772,0.69344777,0.68733275,0.954893
38,CCL3L3,0.013080535072804688,0.69105595,0.6080328,0.854844
16,CTLA4,0.0005533728731587883,0.68706864,0.7151346,0.98641104
25,TP53INP1,0.00282978207378806,0.6838219,0.48541683,0.69502354
50,VCAM1,0.04168140446222996,0.68264496,0.51145935,0.72839314
35,CCL3,0.010209687977651753,0.67262506,0.71595913,0.98115283
51,CXCR6,0.04387898105718725,0.6717224,0.6251862,0.8686316
41,SNAP47,0.01820654786776758,0.6465279,0.65139407,0.8909185
6,SIRPG,5.41297227152414e-05,0.63637125,1.088277,1.4014
52,BATF,0.04979455743046558,0.6344361,0.5805157,0.79823744
33,PAM,0.008198386753784965,0.61024237,0.5767719,0.78440964
4,CD7,7.613398975724582e-06,0.60494167,0.7878465,1.0378205
37,ATHL1,0.012032458981278164,0.5657331,0.71476793,0.9340677
1,HAVCR2,3.4266920399031043e-09,0.54265934,1.2660567,1.5496594
30,FCRL3,0.006306874376387279,0.5426425,0.9317342,1.1760771
29,PCED1B,0.005778315277468405,0.5221773,0.7405766,0.94609505
19,CCL4L1,0.000811953453965322,0.5187431,1.1065664,1.3609091
20,CCL4L2,0.000811953453965322,0.5187431,1.1065664,1.3609091
36,CD8B,0.011924736026803969,0.5133671,1.2843345,1.5536474
9,TRAF5,0.0002166548267855819,0.49989825,0.95268136,1.1793289
18,CCNI,0.0006304879282912055,0.48825333,0.99774134,1.224278
39,IL6ST,0.017893505005936183,0.47930446,0.6041962,0.76861346
42,TOX,0.020703396273452784,0.45658115,0.97174966,1.1799058
26,TIGIT,0.00282978207378806,0.44415468,1.2499455,1.4788495
21,TNFRSF1B,0.000811953453965322,0.44057763,1.1680777,1.3880866
7,LYST,5.52120043094013e-05,0.42531034,1.1775932,1.3904871
27,EID1,0.003656676887006188,0.42457843,1.1133736,1.3202182
28,CTSD,0.005346369333345749,0.42239878,1.1696852,1.3803904
13,DENND2D,0.0005414431273946652,0.41765723,1.2305436,1.4437748
31,GBP2,0.007088387824693744,0.41118118,1.0879155,1.2856734
8,PRF1,0.00012067856505337869,0.41078347,1.4574083,1.6827165
46,DUSP4,0.029727029326237664,0.40432376,0.9424078,1.1225741
44,LBH,0.023609313013500475,0.40427193,1.1154708,1.3122014
23,CBLB,0.0009082375474863159,0.3950016,1.3512545,1.5610294
22,PRKCH,0.0008734393745176665,0.39381072,1.367843,1.5780499
40,TTN,0.01820654786776758,0.38791284,0.5758192,0.70249337
15,ITM2A,0.0005483505818568309,0.33630055,1.4332334,1.615468
49,SLA,0.03706536678211831,0.3190141,1.4009155,1.5719287
34,TNFRSF9,0.008788798647861917,0.31655642,1.1158078,1.2684981
3,CD8A,3.5820609337409794e-06,0.31308976,1.7735728,1.9569191
24,CD2,0.0011874693082690373,0.26038188,1.7946936,1.9473515
48,CLEC2D,0.032256270095452975,0.25318262,1.4027567,1.5378628
17,IKZF3,0.0005715514903151234,0.1579741,1.5162692,1.6027365
14,SRGN,0.0005483505818568309,0.15006074,1.9565127,2.0464647
5,HLA-H,9.137345232485292e-06,0.11259829,1.7237109,1.7882733
13361,RPL10,0.01027656484620141,-0.024246957,2.087998,2.0732894
13363,RPS18,0.010209687977651753,-0.04557679,2.1935587,2.1655402
13362,RPS3,0.01027656484620141,-0.046748254,2.1033638,2.0749717
13366,RPL18A,0.005191982022575097,-0.04926895,2.1717904,2.1415915
13364,RPS14,0.008788798647861917,-0.05850723,2.1888323,2.1529047
13367,RPL3,0.0039472451783269785,-0.06770467,2.1942782,2.152689
13360,RPLP2,0.018195358915680714,-0.081275664,2.1086707,2.0593457
13353,PABPC1,0.03290959123142001,-0.0882371,1.7069194,1.6571356
13355,RPL8,0.03174717875047028,-0.09916439,2.0104592,1.9512076
13358,RPS29,0.021144010631873388,-0.10225038,1.9863483,1.9255
13351,RPL13A,0.03442277347019973,-0.15380228,1.8898598,1.800107
13356,GSG1,0.02589617780897699,-0.29257363,0.9983978,0.87518907
13350,UBE2G2,0.03706536678211831,-0.34669453,0.9276948,0.7894223
13359,VIM,0.018225995552099507,-0.37950704,1.4385716,1.2444768
13349,EMP3,0.03747020971005476,-0.5766273,0.871215,0.6585093
13357,AOAH,0.02577686840421957,-0.63038206,0.77318317,0.561707
