names, TF, pdcd1_low, pdcd1_high, fold_change, p_val
CXCL13,N,1.336188845,2.537919947,1.899372202,1.63E-24
HAVCR2,N,1.742885961,3.250431193,1.864970667,2.30E-36
ENTPD1,N,1.319602678,2.096165225,1.588482094,1.92E-28
TNFRSF9,N,1.320941974,2.087825684,1.580558212,6.33E-13
TIGIT,N,1.915971339,2.932866059,1.53074631,2.40E-20
CCL3,N,1.899700433,2.864626187,1.507935744,4.78E-12
MYO7A,N,1.458485029,2.159063138,1.480346452,4.43E-13
TOX,Y,1.847193215,2.73259143,1.479320846,2.97E-21
CCND2,N,1.69614461,2.464204109,1.45282666,3.32E-20
MIR155HG,N,1.592110729,2.267169078,1.424002135,9.42E-12
ACP5,N,1.542229177,2.195402908,1.423525725,6.61E-19
CD27,N,1.839541825,2.599494258,1.413120497,1.26E-18
LYST,N,2.245488696,3.170830866,1.412089436,5.77E-18
CD27-AS1,N,1.776007212,2.488953136,1.401431886,1.21E-17
SIRPG,N,1.874188591,2.604826579,1.389842298,2.79E-18
DUSP4,N,1.700763485,2.332852189,1.371649974,1.15E-19
TTN,N,1.699492453,2.322865315,1.36679943,1.05E-10
ITM2A,N,1.954215352,2.596084752,1.328453771,1.46E-12
FUT8,N,1.567019325,2.063547871,1.316861788,2.08E-13
CD2BP2,N,1.628431809,2.096175942,1.287235935,2.11E-16
PARK7,N,1.801051247,2.309832827,1.282491451,6.35E-12
OAS2,N,1.834555202,2.342800483,1.277040059,4.36E-12
NELFCD,N,1.663088002,2.109597192,1.268481998,8.84E-16
SRGAP3,N,1.643736652,2.07382563,1.261653214,3.01E-17
GZMB,N,3.73414713,4.671868452,1.251120615,4.00E-11
RHOC,N,1.708553903,2.120355112,1.241023247,1.64E-10
GALM,N,1.679283766,2.063822864,1.228989946,3.97E-11
APOBEC3C,N,2.545543828,3.117259584,1.224594741,2.71E-13
GBP4,N,1.69519362,2.074646045,1.223840168,9.80E-07
IVNS1ABP,Y,2.088722532,2.549684761,1.220690983,9.40E-12
TNFRSF1B,N,1.841345441,2.240063741,1.216536393,7.15E-11
ATP6V1C2,N,1.845301824,2.224732465,1.205619826,6.11E-08
MSN,N,1.862619648,2.24460394,1.205079063,3.22E-07
PDIA6,N,2.113854404,2.536360539,1.199874757,5.42E-07
PTPN7,N,2.330561559,2.790712871,1.197442247,4.55E-08
ITGAE,N,3.056089623,3.649307221,1.194110014,7.71E-09
RALGDS,N,1.792251342,2.138772846,1.193344257,4.08E-10
HLA-DMA,N,2.099636691,2.503681227,1.192435452,1.24E-07
DZIP3,N,1.715584697,2.043091961,1.19090125,1.18E-11
HNRNPR,N,1.853252548,2.206989463,1.190873562,3.29E-08
CCL3L3,N,1.973481017,2.348860313,1.190211759,2.29E-06
RGS1,N,2.863042817,3.405759352,1.18955935,1.99E-08
CD164,N,1.855190508,2.206719433,1.189484004,3.47E-06
PRDX3,N,1.749913095,2.074071984,1.18524285,4.18E-06
ATP6V0D1,N,1.723059318,2.040475761,1.184216782,6.35E-09
SNRPB,Y,1.903031894,2.251182961,1.182945471,7.69E-08
GZMH,N,3.589277322,4.227917641,1.177930057,4.49E-07
CD84,N,2.074013703,2.439207053,1.176080491,1.61E-06
IRF7,Y,1.769281165,2.075393841,1.17301528,1.12E-09
CD82,N,2.176761142,2.551754827,1.172271398,2.38E-08
CD63,N,2.764140749,3.236714824,1.170965996,5.02E-07
APOBEC3G,N,3.225891444,3.775400416,1.170343293,1.42E-09
ADGRE5,N,2.451293783,2.861783094,1.167458227,1.91E-06
CCR5,N,1.977682967,2.308832866,1.167443369,2.19E-11
ARHGAP9,N,2.080414729,2.421288832,1.163849111,4.28E-06
VPS26A,N,1.861266764,2.163701891,1.162488867,1.76E-09
PMF1,N,1.738257782,2.019711823,1.16191732,3.83E-07
MDH2,N,1.758290569,2.041566946,1.161108967,1.76E-06
CTSD,N,2.618221253,3.036896429,1.159908249,1.56E-07
DNAJC1,N,1.877847648,2.177272504,1.159451091,3.26E-06
GPR174,N,1.956837899,2.264775186,1.15736474,3.17E-07
NRDC,N,1.803944433,2.07845332,1.152171476,2.50E-06
SIT1,N,1.897662863,2.183556528,1.150655667,7.10E-07
YARS,N,2.120842897,2.431087009,1.146283401,8.17E-08
PRF1,N,3.187280049,3.652041894,1.1458177,1.08E-06
GBP2,N,1.798219893,2.05744315,1.144155483,3.27E-06
GZMA,N,3.962724298,4.507521318,1.137480425,3.06E-09
GALNT2,N,1.786674801,2.028657192,1.135437289,1.56E-09
CLIC1,N,2.080532758,2.359357138,1.134015857,3.47E-06
CD74,N,2.016618157,2.277911822,1.129570223,6.16E-07
SRRT,N,1.810314837,2.038949273,1.1262954,1.33E-07
SCAMP2,N,1.863815016,2.097638825,1.125454408,4.60E-06
CHST12,N,2.477101693,2.781690924,1.122961941,1.05E-06
HNRNPM,N,1.873997544,2.098619906,1.119862677,1.72E-06
RALY,N,2.010231447,2.250037272,1.119292644,4.81E-06
USP11,N,1.886591639,2.103224087,1.114827419,2.55E-07
BIN1,Y,1.904158847,2.121111324,1.113936123,1.87E-06
MGAT1,N,1.857641768,2.066966115,1.112682838,1.42E-09
CYTH4,N,1.950388882,2.168187271,1.111669212,8.27E-07
CD244,N,1.893542816,2.100070674,1.109069548,2.44E-09
SQSTM1,N,1.889649461,2.080615947,1.101059213,1.31E-06
NRBP1,N,1.880021392,2.066974329,1.09944192,2.42E-06
ZFR,N,1.886079627,2.065999243,1.095393436,4.71E-07
OAS3,N,1.832710465,2.002563282,1.092678478,5.03E-07
LASP1,N,1.946192354,2.124627296,1.091684124,2.39E-06
