,names,p_val,logfold,pdcd1_low_mean,pdcd1_high_mean
0,PDCD1,0.0,6.129742,0.3882834,4.4998674
2,HAVCR2,1.086103000381504e-32,1.8594182,1.7428858,3.2504313
49,CXCL13,4.369550608486676e-22,1.6566374,1.3361888,2.53792
139,TIGIT,2.081414802897915e-18,1.2585698,1.9159713,2.9328659
1031,CCL3,5.783393649063889e-11,1.2019439,1.8997004,2.8646264
16,ENTPD1,1.4875195892314775e-25,1.1307245,1.3196026,2.0961652
107,TOX,3.394330005972554e-19,1.1199542,1.8471932,2.7325916
848,TNFRSF9,9.488874775900616e-12,1.1175956,1.320942,2.0878258
260,LYST,2.685149551607962e-16,1.0972183,2.2454886,3.170831
146,CCND2,2.7462793557610954e-18,1.0120391,1.6961446,2.4642043
1301,GZMB,3.712305771600168e-10,0.99268657,3.7341473,4.671869
812,MYO7A,7.092157621788418e-12,0.98750746,1.4584849,2.1590633
213,CD27,7.131524834375372e-17,0.97255737,1.8395419,2.5994945
239,SIRPG,1.4237582906723624e-16,0.93108064,1.8741887,2.6048265
275,CD27-AS1,5.337243536157602e-16,0.9280776,1.776007,2.4889529
1115,MIR155HG,1.0699017506763241e-10,0.92051107,1.5921108,2.267169
202,ACP5,4.2026661453800606e-17,0.90461457,1.5422292,2.1954029
165,DUSP4,8.929864769396044e-18,0.8432496,1.7007635,2.3328521
1453,TTN,8.814908644735623e-10,0.8326149,1.6994925,2.3228655
924,ITM2A,1.9051432296105706e-11,0.8116769,1.9542153,2.5960848
5727,IFNG,0.00025557462069032444,0.73908067,2.0241404,2.6135294
750,FUT8,3.4993473313691834e-12,0.696085,1.5670193,2.0635478
3463,GZMH,1.562016162733961e-06,0.6846572,3.5892773,4.227918
1056,PARK7,7.255086744243765e-11,0.6717698,1.8010511,2.3098328
1020,OAS2,5.2157865662544095e-11,0.66617715,1.8345553,2.3428006
767,APOBEC3C,4.247114578893343e-12,0.66611934,2.545544,3.1172597
2296,ITGAE,4.056612358804253e-08,0.6582038,3.0560896,3.6493075
381,CD2BP2,6.936428070566645e-15,0.64710075,1.6284318,2.0961757
447,NELFCD,2.4654045213580078e-14,0.6136599,1.663088,2.109597
2516,RGS1,9.548227255900785e-08,0.6130509,2.8630428,3.4057593
1916,APOBEC3G,8.952265829647951e-09,0.6031856,3.2258916,3.7754004
299,SRGAP3,1.3484798881714662e-15,0.59529334,1.6437366,2.0738256
1108,IVNS1ABP,1.0325963202752064e-10,0.5774033,2.0887227,2.5496848
2086,GZMA,1.7673186834846693e-08,0.57556236,3.962724,4.507521
5201,SAMSN1,8.307817623112363e-05,0.56729436,1.9504473,2.3909724
4645,CXCR6,2.5162298730507742e-05,0.5663787,3.20659,3.7213132
6029,LAG3,0.0004629804130243127,0.5663638,2.5711067,3.0564122
5176,RBPJ,8.017542959808476e-05,0.56398237,2.243985,2.7058954
1532,RHOC,1.3259670749660025e-09,0.56167275,1.7085538,2.1203551
2744,PTPN7,2.0015412716526996e-07,0.55474424,2.3305616,2.790713
6089,FASLG,0.0005073209186270088,0.55041397,2.6860077,3.163504
3502,CD63,1.7303734932998427e-06,0.54050684,2.7641408,3.2367148
4676,RGS2,2.6592407578675846e-05,0.5327621,1.8465841,2.2498434
5134,SMC4,7.291103473937686e-05,0.53265005,1.7200549,2.1107545
1303,GALM,3.7405771158960294e-10,0.5301814,1.6792836,2.0638227
3531,PDIA6,1.8601479870838657e-06,0.52855057,2.1138542,2.5363605
1399,TNFRSF1B,6.195103243275225e-10,0.52762884,1.8413454,2.240064
3732,GBP4,3.198644933098484e-06,0.5213151,1.6951936,2.074646
3759,PRF1,3.4702786582482505e-06,0.51294744,3.18728,3.652042
5016,ATP5C1,5.7394995555691216e-05,0.5091211,1.8280728,2.2110138
3038,HLA-DMA,4.98872517260444e-07,0.5074874,2.0996366,2.5036812
3342,MSN,1.1602782801440135e-06,0.5039602,1.8626198,2.244604
2815,ATP6V1C2,2.6435463527626306e-07,0.5026681,1.8453019,2.2247324
5875,SMC3,0.0003539415702328059,0.50232124,1.6856827,2.0497196
3984,ADGRE5,5.76736236466144e-06,0.48829317,2.451294,2.8617833
3109,CTSD,6.065814802036954e-07,0.48769853,2.618221,3.0368965
5947,BST2,0.0004015821808441123,0.48600242,2.1407769,2.530045
4045,CCL3L3,6.916486375420894e-06,0.48409304,1.9734809,2.3488605
5928,CCL3L1,0.00038492191055604835,0.47223836,1.8919859,2.2514153
4852,CBLB,4.0450672098668685e-05,0.46997163,2.3718033,2.762122
2654,HNRNPR,1.5009658969262844e-07,0.46905306,1.8532526,2.2069895
1693,RALGDS,2.9657536897240717e-09,0.46643865,1.7922512,2.1387727
4234,CD164,9.867058902613627e-06,0.4660295,1.8551905,2.2067196
2567,CD82,1.1214762793238477e-07,0.46584785,2.1767612,2.5517547
3912,CD84,4.9684178518807535e-06,0.4623403,2.0740137,2.4392068
2893,SNRPB,3.207567410413692e-07,0.45684573,1.9030318,2.251183
5402,CASP1,0.00012939026422850066,0.45547587,1.7736377,2.1101038
1142,DZIP3,1.3044425740112626e-10,0.45038673,1.7155846,2.0430918
4318,PRDX3,1.1736837453561729e-05,0.44204998,1.749913,2.074072
5372,PAG1,0.00012031504026967543,0.43813732,1.9728947,2.3114138
5445,PLA2G16,0.00013889721110801718,0.436693,1.9069372,2.2394848
2259,ATP6V0D1,3.443628057942709e-08,0.43619666,1.7230593,2.0404758
4327,ARHGAP9,1.1909862620136599e-05,0.4319513,2.0804148,2.421289
1220,CCR5,2.232717726782201e-10,0.42848325,1.9776831,2.308833
5830,CST7,0.00031377080338936485,0.42389077,3.0634756,3.442748
1874,IRF7,7.421779039219498e-09,0.41629782,1.7692811,2.075394
5350,RAB27A,0.00011504913115738013,0.40887102,2.3473446,2.6844978
6040,CCL4L1,0.0004696033995343247,0.4088427,3.1263618,3.4938471
4867,APOBEC3F,4.1717890142772826e-05,0.40862012,1.8243432,2.1288116
4628,SH3KBP1,2.4087096311499007e-05,0.40801147,1.8617041,2.1684575
4557,SLFN12L,2.055725681446889e-05,0.40743753,2.1953347,2.52311
1960,VPS26A,1.0949293909276177e-08,0.4024959,1.8612667,2.163702
3343,GPR174,1.1602782801440135e-06,0.4010767,1.956838,2.264775
6263,TMED2,0.0006873436682270002,0.3977481,1.907542,2.2095215
5718,ARL6IP1,0.0002456106266898438,0.39771274,2.0393028,2.3498704
4211,DNAJC1,9.442806922233524e-06,0.39711392,1.8778478,2.1772726
5835,CTSC,0.00031818030037380275,0.39707693,2.2453632,2.5673096
2910,YARS,3.4109878315582556e-07,0.39126816,2.120843,2.431087
4591,CAP1,2.223639259873502e-05,0.39097497,1.7260213,2.0095692
5476,FKBP1A,0.00014710144706037143,0.38975668,1.9462928,2.2445853
5532,SH2D1A,0.00016808334578125462,0.3874219,2.3376849,2.6562762
4944,ARHGAP25,4.843293303646861e-05,0.38739058,1.8087729,2.0957775
3947,MDH2,5.3960984458744625e-06,0.3873621,1.7582905,2.0415668
3414,PMF1,1.3628253625742125e-06,0.38694748,1.7382578,2.019712
3630,SIT1,2.369491076837183e-06,0.37802398,1.8976629,2.1835566
6456,SYNE1,0.0009409716941517018,0.3745634,2.0201283,2.3109798
4079,NRDC,7.403876121592626e-06,0.37149554,1.8039442,2.0784533
5773,IFI44,0.00028170229432509467,0.36715558,1.9735472,2.2557082
3752,CHST12,3.409491130751871e-06,0.3634839,2.4771018,2.7816908
5396,PPP1CA,0.00012825400120128607,0.35907766,1.8474563,2.115381
6050,IL2RB,0.00047658884177686356,0.3584733,2.5583646,2.86192
4816,HSPA5,3.6386777789724134e-05,0.35783976,2.252658,2.542416
5574,TAP1,0.00018159964850641267,0.35635883,1.7449664,2.0039053
4235,CLIC1,9.869306079868028e-06,0.35526595,2.0805328,2.359357
5744,GNPTAB,0.0002646392981841975,0.35316622,2.0081882,2.281302
5369,SDCBP,0.00012010766188867815,0.35233045,1.7934595,2.0526679
4206,GBP2,9.377689536720518e-06,0.3519333,1.7982199,2.0574434
5856,HLA-DRA,0.0003360797271434296,0.35111004,2.862995,3.1706192
5268,ABI3,9.397361749734647e-05,0.34753472,2.8818538,3.186868
5691,SMARCE1,0.00023064149476256985,0.34209824,1.7918348,2.0431783
5884,SETX,0.0003612425955552041,0.33840173,2.0699854,2.3346968
3572,CD74,2.0772812870507745e-06,0.3376888,2.016618,2.277912
5483,NASP,0.00014948278700643064,0.33704117,1.7597016,2.0051348
6077,HLA-DQB1,0.0004994518407749566,0.3316573,2.2033641,2.4692078
4580,NEDD9,2.162501187021432e-05,0.3301635,1.8066192,2.0498557
1942,GALNT2,1.0025672394927169e-08,0.33015478,1.786675,2.0286574
5637,GRB2,0.00020900883495363962,0.32789046,1.7911978,2.031754
5058,SEC11A,6.349121032363423e-05,0.32774544,1.8146821,2.0565808
6150,OPTN,0.0005597241841006054,0.3243773,1.8412381,2.082176
6268,FBXO7,0.0006894185458617374,0.32209456,1.87074,2.1116605
6383,LY6E,0.0008278181878999094,0.31928816,1.9400643,2.1827083
5723,RPN2,0.00024994972187625486,0.31924793,1.9648507,2.2088037
4362,SCAMP2,1.2743580312332052e-05,0.31336465,1.8638148,2.0976388
4378,RALY,1.3263546776764312e-05,0.31097406,2.0102313,2.2500372
3062,SRRT,5.313486034447155e-07,0.31059438,1.8103148,2.0389495
6185,PSMB10,0.0005889251871254913,0.30527985,1.8296435,2.055362
3938,HNRNPM,5.2776344633656415e-06,0.3006234,1.8739977,2.09862
4493,ITGB7,1.7711798118194334e-05,0.29966795,2.0229003,2.2544003
5794,GPBP1,0.0002912453632089204,0.29262677,1.8496901,2.0668936
3278,USP11,9.522419652299621e-07,0.28933632,1.8865917,2.103224
3972,BIN1,5.7015785996046694e-06,0.28858042,1.9041588,2.1211112
3670,CYTH4,2.730693555418127e-06,0.28669247,1.9503888,2.1681874
6094,EID1,0.0005095845868327951,0.28566453,1.8276196,2.0383587
6052,ARF5,0.00047868657960769537,0.28245622,1.9062202,2.1185613
5367,PTPN6,0.00011904969499033194,0.28173125,2.0903058,2.310649
1919,MGAT1,9.029543967276397e-09,0.2817283,1.8576417,2.0669663
5855,KIF5B,0.0003356110758627382,0.27753794,2.0248747,2.2389994
2034,CD244,1.49297182381565e-08,0.2757055,1.8935428,2.1000707
4840,SF3B2,3.910096755064414e-05,0.2739059,1.8288577,2.0307727
5477,TRAF5,0.0001474268721321349,0.27061737,1.9207102,2.1246364
6344,TLN1,0.0007864594246689286,0.26199302,1.9248649,2.1223392
6477,CD7,0.0009832320975503449,0.2582346,1.871759,2.063897
6209,PRKAR1A,0.0006118167323196719,0.25796595,2.0287259,2.227608
5762,PIK3CD,0.00027681946609135164,0.25679034,1.8752894,2.066493
3829,SQSTM1,4.139393691448141e-06,0.25561,1.8896494,2.080616
4064,NRBP1,7.233420809482264e-06,0.25092167,1.8800213,2.0669746
5128,COMMD7,7.233933573062344e-05,0.2493109,1.8472993,2.0315342
4987,ATP6V0E2,5.477920371847592e-05,0.24886586,1.9768999,2.1664963
6348,IST1,0.0007900935100148944,0.24488139,1.8885154,2.0712473
4883,BRD2,4.346448725909009e-05,0.24391605,1.8863158,2.0682154
5774,GBP1,0.0002823831288522661,0.2416702,2.057964,2.245182
3482,ZFR,1.6424410475839393e-06,0.2413292,1.8860795,2.065999
5775,DTHD1,0.00028290326464116986,0.24022156,2.014019,2.1983867
6222,IDH2,0.0006298208427711184,0.23624948,2.6340666,2.8347776
4057,LASP1,7.144658910527045e-06,0.23608585,1.9461924,2.124627
5234,PSMD13,8.88781279885464e-05,0.23290806,1.9830024,2.160451
6208,WSB1,0.0006116615795838837,0.23282477,1.8836418,2.0569901
3511,OAS3,1.7591708591704856e-06,0.2310768,1.8327105,2.0025632
6194,KDM5A,0.0005983825377691727,0.22706246,1.8824372,2.0513604
5340,PUF60,0.00011346697903883164,0.22471184,2.007134,2.1791296
3462,HLA-DMB,1.554806192663456e-06,0.22330348,1.8674933,2.0329576
5464,HUWE1,0.00014380610697173915,0.22153044,1.848258,2.011596
5172,PSMD8,7.967260785048749e-05,0.22034927,1.8686583,2.0319376
6331,STAT3,0.0007731753468077426,0.21954396,1.9753411,2.1421413
6177,EIF3A,0.0005756591473242017,0.21613082,1.8530416,2.012513
5323,UBE2I,0.00010999121161645034,0.21249011,1.8617207,2.0187957
5147,LOC643733,7.492110689363328e-05,0.21003821,1.858829,2.0139453
5649,HSPA9,0.0002138207573136759,0.20850432,1.8761284,2.0307531
5942,ERP44,0.0003945448151044622,0.19940527,1.9034208,2.0521638
3036,TMEM109,4.975526891789043e-07,0.19631992,2.0365272,2.187399
6119,GPI,0.0005336595601806763,0.19560608,2.1789138,2.3335462
3190,SLC2A1,7.339482019958308e-07,0.19380692,1.9566666,2.1029794
6161,PPT1,0.0005670116206890921,0.19195111,2.0424252,2.1900728
5681,HM13,0.00022461231569322957,0.1897659,1.9755521,2.1193807
4701,VDAC1,2.8994317500728637e-05,0.1832329,1.8928154,2.0289516
3302,ACSL5,1.0478083210677569e-06,0.18009625,1.8888407,2.0224793
4857,TRPV2,4.075463152473693e-05,0.17456414,1.8859118,2.0152888
5486,PLEKHF1,0.00015029686612588234,0.16886654,2.2245486,2.358909
6430,DENND1C,0.0009046601437187761,0.15833282,1.9148905,2.0328982
4975,SLC3A2,5.1915012028484335e-05,0.15813269,2.091774,2.2143357
5843,SYTL2,0.0003275755705777751,0.15365145,2.297673,2.421371
5684,GGA2,0.00022709060629297069,0.13520992,2.0739646,2.17819
5337,TWF2,0.00011259678597328409,0.13091199,1.9114228,2.0086772
4814,NELL2,3.630194863509268e-05,0.11573431,2.2492836,2.3414345
6044,DDX39A,0.0004714569838198859,0.10766787,1.9646132,2.0454519
5678,MFSD10,0.00022400885279045068,0.0773637,2.098046,2.157707
4176,RASSF1,9.017754517585284e-06,0.062240608,2.0157626,2.0628603
6438,CNPY3,0.0009139232553431752,0.050977297,1.9944854,2.0328376
6039,SERINC3,0.0004694827865779737,0.050239824,2.0209312,2.0589533
6298,TMEM43,0.00073569868262396,0.038226802,2.0630069,2.0921772
12210,CXCR4,0.00012625412049648927,-0.31691518,2.0033724,1.7722524
12264,ANXA1,2.7170171612875907e-05,-0.42494488,2.5117326,2.1709328
12333,SCML4,1.8681279001263434e-07,-0.56310964,2.432614,1.9917636
12252,LYAR,4.4558112780602385e-05,-0.58633643,2.0531306,1.6313547
12253,XCL2,4.367147423688454e-05,-0.58782333,2.1880229,1.7512522
12332,GLUL,2.1215731462468125e-07,-0.80571765,2.6531591,2.0095396
