names,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,high_mean,low_mean
PDCD1,0,1.98609475862295,1,1,0,4.49986743480907,0.388283381958204
HAVCR2,2.30124936428739e-36,0.631914563840312,1,1,2.85216846209779e-32,3.25043119252238,1.74288596109739
CXCL13,1.63211745555207e-24,0.59874450607076,1,1,2.02284637441124e-20,2.53791994739172,1.33618884459912
TIGIT,2.39664681376197e-20,0.431604513594483,1,1,2.97040406097659e-16,2.93286605852316,1.91597133937305
ENTPD1,1.91782840028402e-28,0.416604753371782,1,1,2.37695651931202e-24,2.09616522525289,1.31960267776072
CCL3,4.78241365609569e-12,0.414425009585909,1,1,5.927323485365e-08,2.86462618661583,1.89970043346081
TNFRSF9,6.32517254628179e-13,0.411880856687954,1,1,7.83941885386165e-09,2.08782568386328,1.32094197389381
TOX,2.9690028564769e-21,0.390637199741952,1,1,3.67978214031746e-17,2.73259142956432,1.84719321462941
LYST,5.76998213911403e-18,0.361899078666599,1,1,7.15131586321793e-14,3.17083086601091,2.24548869558895
MYO7A,4.43495788063888e-13,0.361727201520238,1,1,5.49668679726383e-09,2.15906313787479,1.45848502913221
CCND2,3.32425133705616e-20,0.361626056647067,1,1,4.12007710714741e-16,2.46420410905906,1.6961446099604
CD27,1.25670607062726e-18,0.342136054580561,1,1,1.55756150393542e-14,2.5994942578837,1.83954182539429
MIR155HG,9.41917449742808e-12,0.33391376880073,1,1,1.16741248721124e-07,2.26716907836403,1.59211072948766
ACP5,6.60662253717653e-19,0.329903759311448,1,1,8.18824797257659e-15,2.19540290774228,1.54222917721848
CD27-AS1,1.20671616263851e-17,0.329782903260974,1,1,1.49560401197416e-13,2.48895313635387,1.77600721219659
SIRPG,2.78731795323468e-18,0.326775127867656,1,1,3.45460187123906e-14,2.60482657859399,1.87418859106979
DUSP4,1.15412999607431e-19,0.303390032492641,1,1,1.43042871713449e-15,2.3328521893976,1.70076348455301
TTN,1.0494071992073e-10,0.299739634474887,1,1,1.30063528269753e-06,2.32286531542914,1.69949245306998
ITM2A,1.45751352481959e-12,0.283652025436457,1,1,1.8064422626614e-08,2.59608475228376,1.95421535155241
GZMB,4.00190738153366e-11,0.260719529205151,1,1,4.95996400867281e-07,4.67186845249265,3.73414712954228
FUT8,2.07626184271169e-13,0.255109238149797,1,1,2.57331892785687e-09,2.06354787126732,1.56701932533668
PARK7,6.34947906949776e-12,0.24078997259851,1,1,7.86954435873553e-08,2.30983282681142,1.80105124679944
OAS2,4.36152635707734e-12,0.237934884069881,1,1,5.40567576696165e-08,2.34280048330759,1.83455520212653
CD2BP2,2.11141856886291e-16,0.236285148997133,1,1,2.61689217424869e-12,2.09617594232018,1.62843180948469
NELFCD,8.84490471011554e-16,0.223627606681331,1,1,1.09623748977172e-11,2.10959719197133,1.66308800198772
SRGAP3,3.01210304471534e-17,0.217456852942452,1,1,3.7332005136202e-13,2.07382563024481,1.64373665207383
APOBEC3C,2.70545085074263e-13,0.215677480247355,1,1,3.35313578441042e-09,3.11725958425572,2.54554382794524
RHOC,1.63861281114591e-10,0.204187422129744,1,1,2.03089671813424e-06,2.12035511197867,1.70855390297894
IVNS1ABP,9.40334380641364e-12,0.200680632227856,1,1,1.16545043136691e-07,2.54968476063873,2.0887225318125
ITGAE,7.70642803071422e-09,0.196926230467275,1,1,9.5513469012672e-05,3.64930722117194,3.05608962273187
GALM,3.96515493543972e-11,0.193485503059252,1,1,4.914413026984e-07,2.06382286390082,1.67928376580555
